,row,col,StemTag,frac,Status_2024,Status_2025,crown_intact_2024,crown_intact_2025,crown_living_2024,crown_living_2025,BBD,BBD_severity,BLD,BLD_severity,FAD_2024,Fungi (F),Leaf Damage (LF),Insect Infection (I),Canker (K),Wound (W),Rot (R),Defolation (DF),Broken stem(B),Animal Damage (An),Hollow Stem (HS),Bark Beetles (BB),Unknown (U),notes,Heart Rot (H),Useable
57,3,14,201046,0.0006169930972670134,AU,AU,58,60.0,53,60.0,1.0,"Small cankers, scale insect, orange bark ",1.0,"advanced, curled and dead leaves","B,W",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
58,10,17,271124,0.014895164533788427,AU,AU,90,90.0,79,75.0,1.0,"big cankers, orange bark",1.0,banded leaves,"K,I",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
59,2,9,131659,0.005802351472817759,AU,AU,99,100.0,99,100.0,1.0,"large cankers, scale insect, fungi, orange bark",1.0,banded leaves,"I,K",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
60,5,10,151613,0.0262847898636772,AU,AU,84,80.0,65,65.0,1.0,"large cankers, scale insect, orange bark",1.0,"advanced, curled leaves","K,R,I,DF,W",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
61,1,3,042565,0.02327331910699671,A,AU,100,100.0,100,100.0,1.0,"small cankers, fungi",1.0,"strongly banded, lower branches shriveled and brown leaves",,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
62,5,6,081369,0.008016428835360344,AU,AU,100,100.0,100,100.0,1.0,"scale insect, small cankers",1.0,banded leaves,K,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
63,13,2,040652,0.054133093819046865,A,AU,100,100.0,100,100.0,1.0,"low, black fungi, some small cankers",1.0,banded leaves,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
64,13,3,040652,0.0062663155221971975,A,AU,100,100.0,100,100.0,1.0,"low, black fungi, some small cankers",1.0,banded leaves,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
65,2,11,162138,0.014757320064439645,DS,DS,30,5.0,0,0.0,1.0,"cankers, scale insect, orange bark, fungi",,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
66,14,10,160809,0.018059918501207257,AU,AU,94,100.0,68,99.0,1.0,"large cankers, scale insect",1.0,banded leaves,"K,I,F",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
67,14,11,160809,0.004343402251053764,AU,AU,94,100.0,68,99.0,1.0,"large cankers, scale insect",1.0,banded leaves,"K,I,F",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
68,16,6,100091,0.0036437719621277708,AU,AU,99,97.0,94,80.0,1.0,"big cankers, scale insect",1.0,strongly banded leaves,"I,K,LF",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
69,5,4,061581,0.008323828133538743,AU,AU,96,50.0,92,10.0,1.0,"advanced, scale insect, medium cankers, strong orange bark",1.0,strongly banded leaves,K,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
70,2,2,032534,0.012896781405219188,A,AU,100,100.0,100,100.0,1.0,small cankers,1.0,strongly banded leaves,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
71,14,19,300593,0.0031258056200787754,AU,AU,42,40.0,40,39.0,1.0,"small cankers, scale insect, orange bark",1.0,"advanced, curled and dead","B,W,K,R,I",0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,surrounding trees are all cut and down,0.0,Yes
72,14,19,300570,0.00255825907214628,AU,AU,92,99.0,87,95.0,1.0,"large cankers, scale insect, orange bark",1.0,"advanced, curled and dead","K,I,LF",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
73,13,18,280672,0.0020842564877062058,AU,AU,96,90.0,68,33.0,1.0,"large cankers, scale insect, orange bark",1.0,strongly banded leaves,"K,DF,LF",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
74,6,9,131058,0.0027856225948476995,AU,AU,90,90.0,87,20.0,1.0,"small cankers, scale insect, orange bark",1.0,banded leaves,"I,DF,LF,K,R",1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,Yes
75,6,8,131112,0.004217672929972736,AU,AU,99,100.0,99,100.0,1.0,scale insect,1.0,banded leaves,"W,R,F",0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
76,6,9,131112,0.003644202256105106,AU,AU,99,100.0,99,100.0,1.0,scale insect,1.0,banded leaves,"W,R,F",0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
77,12,20,300802,0.012646654131144736,AU,DS,96,6.0,5,0.0,1.0,small cankers,,,"DF,LF,K,I",0.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,Yes
78,13,20,300802,0.012634412849915271,AU,DS,96,6.0,5,0.0,1.0,small cankers,,,"DF,LF,K,I",0.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,Yes
79,13,20,310909,0.008419287966305571,AU,AU,98,80.0,96,33.0,1.0,"big cankers, scale insect, orange bark",1.0,"advanced, curled and dead","K,I,LF,B,W",0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,Yes
